电视,#genre#
CCTV1,http://121.24.98.237:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.237:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.237:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.237:8090/hls/12/index.m3u8
CCTV5,http://121.24.98.237:8090/hls/13/index.m3u8
CCTV6,http://121.24.98.237:8090/hls/14/index.m3u8
CCTV7,http://121.24.98.237:8090/hls/15/index.m3u8
CCTV8,http://121.24.98.237:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.237:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.237:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.237:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.237:8090/hls/20/index.m3u8
CCTV12,http://121.24.98.237:8090/hls/21/index.m3u8
CCTV13,http://live.dxms.top:80/dwy/news.php
CCTV14,http://121.24.98.237:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.237:8090/hls/23/index.m3u8
CCTV17,http://121.24.98.237:8090/hls/25/index.m3u8

CCTV1,http://live.dxms.top:80/dwy/mgak.php
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8


山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759
山西黄河,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
山西经济与科技,http://liveflash.sxrtv.com/live/sxfinance.m3u8?sub_m3u8=true&edge_slice=true
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
山西社会与法治,http://liveflash.sxrtv.com/live/sxedu.m3u8?sub_m3u8=true&edge_slice=true
山西文体生活HD,http://liveflash.sxrtv.com/live/sxpublic.m3u8?sub_m3u8=true&edge_slice=true


熊猫频道,#genre#
都江堰青青,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8
都江堰妃妃,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
都江堰娅祥,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
都江堰瑞瑞,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
都江堰英英,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
都江堰壹壹玖玖,http://gcalic.v.myalicdn.com/gc/xiongmao14_1/index.m3u8
都江堰水秀,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
都江堰神树萍①,http://gcalic.v.myalicdn.com/gc/xiongmao25_1/index.m3u8
都江堰神树坪②,http://gcalic.v.myalicdn.com/gc/xiongmao26_1/index.m3u8
都江堰神树坪③,http://gcalic.v.myalicdn.com/gc/xiongmao22_1/index.m3u8
怡然②,http://gcalic.v.myalicdn.com/gc/xiongmao18_1/index.m3u8
基地幼年园①,http://gcalic.v.myalicdn.com/gc/xiongmao03_1/index.m3u8
基地幼年园②,http://gcalic.v.myalicdn.com/gc/xiongmao04_1/index.m3u8
基地母子园①,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
基地母子园②,http://gcalic.v.myalicdn.com/gc/xiongmao08_1/index.m3u8
基地幼儿园①,http://gcalic.v.myalicdn.com/gc/xiongmao05_1/index.m3u8
基地幼儿园②,http://gcalic.v.myalicdn.com/gc/xiongmao06_1/index.m3u8
基地成年园①,http://gcalic.v.myalicdn.com/gc/xiongmao01_1/index.m3u8
基地成年园②,http://gcalic.v.myalicdn.com/gc/xiongmao02_1/index.m3u8
基地别墅①,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
基地别墅①,http://gccnchwc.v.cdn20.com/gc/xiongmao09_1.flv
基地别墅②,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8


电影轮播,#genre#


进击的神乐1,http://159.75.85.63:35455/douyu/85894
进击的神乐2,http://159.75.85.63:35455/douyu/122402
特辑电影院,http://159.75.85.63:35455/douyu/3637778
豆瓣高分,http://159.75.85.63:35455/douyu/8770422
女神金,http://159.75.85.63:35455/douyu/747764
欧美大片1,http://159.75.85.63:35455/douyu/4332
欧美大片2,http://159.75.85.63:35455/douyu/6140589
欧美大片3,http://159.75.85.63:35455/douyu/52787
欧美大片4,http://159.75.85.63:35455/douyu/36337
欧美大片5,http://159.75.85.63:35455/douyu/8814650
欧美大片6,http://159.75.85.63:35455/douyu/263824
欧美大片7,http://159.75.85.63:35455/douyu/323876
欧美大片8,http://159.75.85.63:35455/douyu/20415
欧美大片9,http://159.75.85.63:35455/douyu/2793084
欧美大片10,http://159.75.85.63:35455/douyu/9249162
刘德华,http://159.75.85.63:35455/douyu/2516864
宇哥电影,http://159.75.85.63:35455/douyu/413573
粤语电影1,http://159.75.85.63:35455/douyu/6566671
粤语电影2,http://159.75.85.63:35455/douyu/1226741
贝爷影厅,http://159.75.85.63:35455/douyu/252802
